Maquina,timestamp_grid,aceleracion_chum_la_h,velocidad_chum_la_h,envolvente_chum_la_h,aceleracion_chum_la_a,velocidad_chum_la_a,envolvente_chum_la_a,aceleracion_chum_ll_h,velocidad_chum_ll_h,envolvente_chum_ll_h,desbalance_la,desalineacion_rad_la,soltura_chum_la,rodamiento_chum_la,desalineacion_ang_la,desbalance_ll,soltura_chum_ll,rodamiento_chum_ll,corriente_picadora,temperatura_lado_der,temperatura_lado_izq
PICADORA,2025-07-14 10:50:31-05:00,0.411004,1.78823,1.71617,0.30251,1.37773,1.29124,0.289826,1.99894,0.737256,0.7001866,0.4998905,1.3455967,0.71464586,0.045333866,0.8023375,1.5095975,0.998369,92.0,50.0,52.0
PICADORA,2025-07-14 10:50:41-05:00,0.416717,1.84112,1.75291,0.322313,1.45433,1.14961,0.308404,2.21706,0.591859,0.6987438,0.49287826,1.2996383,0.6703354,0.044396885,0.7981607,1.4652283,0.95890665,92.0,50.0,52.0
PICADORA,2025-07-14 10:50:51-05:00,0.431201,1.84849,1.92115,0.357356,1.55094,0.950195,0.30542,2.17961,0.681764,0.697301,0.485866,1.25368,0.626025,0.0434599,0.7939839,1.4208592,0.9194443,109.0,50.0,51.5
PICADORA,2025-07-14 10:51:01-05:00,0.406578,1.80192,1.80999,0.305086,1.41537,0.993932,0.275362,2.17381,0.580567,0.6980213,0.4837241,1.2547584,0.623532,0.041159734,0.789807,1.37649,0.879982,92.0,50.0,51.0
PICADORA,2025-07-14 10:51:11-05:00,0.417387,1.85481,1.89636,0.33589,1.54541,1.13453,0.2948,2.1171,0.588525,0.6987417,0.48158216,1.2558367,0.62103903,0.038859565,0.7869086,1.4151725,0.9281452,105.0,50.0,52.0
PICADORA,2025-07-14 10:51:21-05:00,0.411164,1.6472,1.84014,0.326204,1.40906,1.14725,0.258478,1.84465,0.700799,0.699462,0.47944027,1.256915,0.618546,0.0365594,0.7840102,1.453855,0.97630835,89.0,50.0,52.0
PICADORA,2025-07-14 10:51:31-05:00,0.435466,1.93953,2.02736,0.356041,1.5591,1.1362,0.310206,2.09547,0.623906,0.7001823,0.47729835,1.2579933,0.616053,0.034259234,0.7811118,1.4925375,1.0244715,112.0,50.0,52.0
PICADORA,2025-07-14 10:51:41-05:00,0.452364,2.15056,1.79368,0.376971,1.66202,1.12117,0.351475,2.50956,0.748978,0.70090264,0.47515643,1.2590717,0.61356,0.031959068,0.7782133,1.53122,1.0726347,125.0,50.0,52.0
PICADORA,2025-07-14 10:51:51-05:00,0.424898,1.80981,1.67432,0.344825,1.45038,1.28351,0.312249,2.08756,0.817697,0.70162296,0.4730145,1.26015,0.611067,0.029658899,0.7753149,1.5699025,1.1207979,112.0,50.0,52.0
PICADORA,2025-07-14 10:52:01-05:00,0.417736,2.04505,2.04877,0.363608,1.55357,1.3361,0.321282,2.52142,0.687302,0.70234334,0.47087258,1.2612283,0.608574,0.027358733,0.7724165,1.608585,1.168961,104.0,50.0,52.0
